Envelope_Name_Corrected,Date,Elevation,Site,destBlockID,Treatment,Taxon,Individual_number,Leaf_number,Wet_Mass_g,Dry_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,Leaf_Area_cm2,SLA_cm2_g,LDMC,StoichLabel,WetFlag,DryFlag,ThickFlag,AreaFlag,GeneralFlag,allComments
20160812_3850_A_M2_2_Geranium_pylzowianum_U_5,2016-08-12,3850,A,M2,2,Geranium pylzowianum,U,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9421,NA,NA,NA,NA,NA,NA,NA,Wrong Ind number due to duplicate FileName,NA
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,2,2,NA,5e-5,0.133,NA,NA,NA,NA,NA,0.133,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,2,3,NA,6e-5,0.101,NA,NA,NA,NA,NA,0.101,0.02,333.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Saxifraga unguiculata,3,2,NA,6e-5,0.135,NA,NA,NA,NA,NA,0.135,0.022,366.66666666666663,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,1,3,NA,7e-5,0.151,NA,NA,NA,NA,NA,0.151,0.031,442.8571428571429,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,1,5,NA,8e-5,0.149,NA,NA,NA,NA,NA,0.149,0.014,175,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Sedum dugueyi,4,2,NA,8e-5,0.117,NA,NA,NA,NA,NA,0.117,0.019,237.49999999999997,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,1,2,NA,8e-5,0.126,NA,NA,NA,NA,NA,0.126,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2015-08-20,4100,H,HO,LOCAL,Gentiana crassuloides,1,4,NA,8e-5,0.134,NA,NA,NA,NA,NA,0.134,0.033,412.5,NA,NA,NA,NA,NA,Area might be incorrect eaten cut white etc,NA,part of leaf too white
NA,2015-08-20,3850,A,AO,LOCAL,Saxifraga prattii,1,5,NA,9e-5,0.839,NA,NA,NA,NA,NA,0.839,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
