year,season,month,site,treatment,plot_id,variable,variable_class,value,burn_year,elevation,latitude,longitude,course
2018,wet_season,March,WAY,C,2,cover,forbs,18,NA,3120.3,-13.18043,-71.589752,PFTC3
2018,wet_season,March,WAY,C,2,cover,graminoids,95,NA,3120.3,-13.18043,-71.589752,PFTC3
2018,wet_season,March,WAY,C,2,cover,shrub,0,NA,3120.3,-13.18043,-71.589752,PFTC3
2018,wet_season,March,WAY,C,2,cover,ferns,0.5,NA,3120.3,-13.18043,-71.589752,PFTC3
2018,wet_season,March,WAY,C,2,cover,bare_ground,1,NA,3120.3,-13.18043,-71.589752,PFTC3
2018,wet_season,March,WAY,C,2,cover,rock,0,NA,3120.3,-13.18043,-71.589752,PFTC3
2018,wet_season,March,WAY,C,2,cover,litter,2,NA,3120.3,-13.18043,-71.589752,PFTC3
2018,wet_season,March,WAY,C,4,cover,forbs,10,NA,3123.3,-13.180527,-71.589873,PFTC3
2018,wet_season,March,WAY,C,4,cover,graminoids,75,NA,3123.3,-13.180527,-71.589873,PFTC3
2018,wet_season,March,WAY,C,4,cover,shrub,0.5,NA,3123.3,-13.180527,-71.589873,PFTC3
2018,wet_season,March,WAY,C,4,cover,ferns,0,NA,3123.3,-13.180527,-71.589873,PFTC3
2018,wet_season,March,WAY,C,4,cover,bare_ground,0.5,NA,3123.3,-13.180527,-71.589873,PFTC3
2018,wet_season,March,WAY,C,4,cover,rock,0,NA,3123.3,-13.180527,-71.589873,PFTC3
2018,wet_season,March,WAY,C,4,cover,litter,0.5,NA,3123.3,-13.180527,-71.589873,PFTC3
2018,wet_season,March,WAY,B,1,cover,forbs,15,2007,3071.7,-13.179917,-71.588118,PFTC3
2018,wet_season,March,WAY,B,1,cover,graminoids,39,2007,3071.7,-13.179917,-71.588118,PFTC3
2018,wet_season,March,WAY,B,1,cover,shrub,1,2007,3071.7,-13.179917,-71.588118,PFTC3
2018,wet_season,March,WAY,B,1,cover,ferns,1,2007,3071.7,-13.179917,-71.588118,PFTC3
