date,aspect,site_id,elevation_m_asl,plot_id,variable,value,unit
2023-12-08,west,5,2800,2,bare_soil_cover,3,percentage
2023-12-08,west,5,2800,2,rock_cover,0,percentage
2023-12-08,west,5,2800,2,lichen_cover,0.5,percentage
2023-12-08,west,5,2800,2,moss_cover,0.5,percentage
2023-12-08,west,5,2800,2,vegetation_height,21.8,cm
2023-12-08,west,5,2800,4,bare_soil_cover,1,percentage
2023-12-08,west,5,2800,4,rock_cover,1,percentage
2023-12-08,west,5,2800,4,lichen_cover,0.5,percentage
2023-12-08,west,5,2800,4,moss_cover,0.5,percentage
2023-12-08,west,5,2800,4,vegetation_height,27.6,cm
2023-12-08,west,5,2800,1,bare_soil_cover,0.5,percentage
2023-12-08,west,5,2800,1,rock_cover,0,percentage
2023-12-08,west,5,2800,1,lichen_cover,0,percentage
2023-12-08,west,5,2800,1,moss_cover,0,percentage
2023-12-08,west,5,2800,1,vegetation_height,15.6,cm
2023-12-08,west,5,2800,3,bare_soil_cover,15,percentage
2023-12-08,west,5,2800,3,rock_cover,1,percentage
2023-12-08,west,5,2800,3,lichen_cover,0,percentage
2023-12-08,west,5,2800,3,moss_cover,0.5,percentage
2023-12-08,west,5,2800,3,vegetation_height,16.5,cm
2023-12-08,west,5,2800,5,bare_soil_cover,0.5,percentage
2023-12-08,west,5,2800,5,rock_cover,0,percentage
2023-12-08,west,5,2800,5,lichen_cover,0,percentage
2023-12-08,west,5,2800,5,moss_cover,0,percentage
2023-12-08,west,5,2800,5,vegetation_height,34.8,cm
2023-12-08,east,5,2800,3,bare_soil_cover,2,percentage
2023-12-08,east,5,2800,3,rock_cover,0,percentage
2023-12-08,east,5,2800,3,lichen_cover,0.5,percentage
2023-12-08,east,5,2800,3,moss_cover,0.5,percentage
2023-12-08,east,5,2800,3,vegetation_height,29.4,cm
2023-12-08,east,5,2800,5,bare_soil_cover,0.5,percentage
2023-12-08,east,5,2800,5,rock_cover,0.5,percentage
2023-12-08,east,5,2800,5,lichen_cover,0,percentage
2023-12-08,east,5,2800,5,moss_cover,0,percentage
2023-12-08,east,5,2800,5,vegetation_height,19.2,cm
2023-12-08,east,5,2800,1,bare_soil_cover,0.5,percentage
2023-12-08,east,5,2800,1,rock_cover,0,percentage
2023-12-08,east,5,2800,1,lichen_cover,0.5,percentage
2023-12-08,east,5,2800,1,moss_cover,0.5,percentage
2023-12-08,east,5,2800,1,vegetation_height,24,cm
2023-12-08,east,5,2800,2,bare_soil_cover,0,percentage
2023-12-08,east,5,2800,2,rock_cover,0,percentage
2023-12-08,east,5,2800,2,lichen_cover,0.5,percentage
2023-12-08,east,5,2800,2,moss_cover,0.5,percentage
2023-12-08,east,5,2800,2,vegetation_height,18.4,cm
2023-12-08,east,5,2800,4,bare_soil_cover,2,percentage
2023-12-08,east,5,2800,4,rock_cover,5,percentage
2023-12-08,east,5,2800,4,lichen_cover,0.5,percentage
2023-12-08,east,5,2800,4,moss_cover,2,percentage
2023-12-08,east,5,2800,4,vegetation_height,13,cm
2023-12-07,west,4,2600,1,bare_soil_cover,30,percentage
2023-12-07,west,4,2600,1,rock_cover,0,percentage
2023-12-07,west,4,2600,1,lichen_cover,0,percentage
2023-12-07,west,4,2600,1,moss_cover,2,percentage
2023-12-07,west,4,2600,1,vegetation_height,11.8,cm
2023-12-07,west,4,2600,2,bare_soil_cover,25,percentage
2023-12-07,west,4,2600,2,rock_cover,0.5,percentage
2023-12-07,west,4,2600,2,lichen_cover,0.5,percentage
2023-12-07,west,4,2600,2,moss_cover,0.5,percentage
2023-12-07,west,4,2600,2,vegetation_height,14.8,cm
2023-12-07,west,4,2600,3,bare_soil_cover,25,percentage
2023-12-07,west,4,2600,3,rock_cover,0,percentage
2023-12-07,west,4,2600,3,lichen_cover,1,percentage
2023-12-07,west,4,2600,3,moss_cover,0,percentage
2023-12-07,west,4,2600,3,vegetation_height,10,cm
2023-12-07,west,4,2600,4,bare_soil_cover,40,percentage
2023-12-07,west,4,2600,4,rock_cover,1,percentage
2023-12-07,west,4,2600,4,lichen_cover,0.5,percentage
2023-12-07,west,4,2600,4,moss_cover,0.5,percentage
2023-12-07,west,4,2600,4,vegetation_height,14.4,cm
2023-12-07,west,4,2600,5,bare_soil_cover,25,percentage
2023-12-07,west,4,2600,5,rock_cover,0,percentage
2023-12-07,west,4,2600,5,lichen_cover,0.5,percentage
2023-12-07,west,4,2600,5,moss_cover,0,percentage
2023-12-07,west,4,2600,5,vegetation_height,13.6,cm
2023-12-04,east,4,2600,1,bare_soil_cover,6,percentage
2023-12-04,east,4,2600,1,rock_cover,0,percentage
2023-12-04,east,4,2600,1,lichen_cover,0.5,percentage
2023-12-04,east,4,2600,1,moss_cover,0.5,percentage
2023-12-04,east,4,2600,1,vegetation_height,15.6,cm
2023-12-04,east,4,2600,2,bare_soil_cover,3,percentage
2023-12-04,east,4,2600,2,rock_cover,0.5,percentage
