date,aspect,site_id,elevation_m_asl,plot_id,treatment,variable,value
2023-12-12,west,6,3000,10.3,ambient,bare_soil_cover,10
2023-12-12,west,6,3000,10.3,ambient,rock_cover,0
2023-12-12,west,6,3000,10.3,ambient,lichen_cover,0
2023-12-12,west,6,3000,10.3,ambient,moss_cover,0
2023-12-12,west,6,3000,10.3,ambient,vegetation_height,9.6
2023-12-12,west,6,3000,10.4,warm,bare_soil_cover,10
2023-12-12,west,6,3000,10.4,warm,rock_cover,0
2023-12-12,west,6,3000,10.4,warm,lichen_cover,0.5
2023-12-12,west,6,3000,10.4,warm,moss_cover,0
2023-12-12,west,6,3000,10.4,warm,vegetation_height,9.6
2023-12-12,west,6,3000,5.5,warm,bare_soil_cover,0
2023-12-12,west,6,3000,5.5,warm,rock_cover,0
2023-12-12,west,6,3000,5.5,warm,lichen_cover,0
2023-12-12,west,6,3000,5.5,warm,moss_cover,0
2023-12-12,west,6,3000,5.5,warm,vegetation_height,36.2
2023-12-12,west,6,3000,5.6,ambient,bare_soil_cover,2
2023-12-12,west,6,3000,5.6,ambient,rock_cover,0
2023-12-12,west,6,3000,5.6,ambient,lichen_cover,0
2023-12-12,west,6,3000,5.6,ambient,moss_cover,0.5
2023-12-12,west,6,3000,5.6,ambient,vegetation_height,13.06
2023-12-12,west,6,3000,9.5,warm,bare_soil_cover,8
2023-12-12,west,6,3000,9.5,warm,rock_cover,0
2023-12-12,west,6,3000,9.5,warm,lichen_cover,0
2023-12-12,west,6,3000,9.5,warm,moss_cover,0.5
2023-12-12,west,6,3000,9.5,warm,vegetation_height,16.5
2023-12-12,west,6,3000,9.4,ambient,bare_soil_cover,15
2023-12-12,west,6,3000,9.4,ambient,rock_cover,2
2023-12-12,west,6,3000,9.4,ambient,lichen_cover,0
2023-12-12,west,6,3000,9.4,ambient,moss_cover,0.5
2023-12-12,west,6,3000,9.4,ambient,vegetation_height,10.375
2023-12-12,west,6,3000,1.3,warm,bare_soil_cover,25
2023-12-12,west,6,3000,1.3,warm,rock_cover,0
2023-12-12,west,6,3000,1.3,warm,lichen_cover,0
2023-12-12,west,6,3000,1.3,warm,moss_cover,0
2023-12-12,west,6,3000,1.3,warm,vegetation_height,15.4
2023-12-12,west,6,3000,1.4,ambient,bare_soil_cover,40
2023-12-12,west,6,3000,1.4,ambient,rock_cover,0
2023-12-12,west,6,3000,1.4,ambient,lichen_cover,0
2023-12-12,west,6,3000,1.4,ambient,moss_cover,0
2023-12-12,west,6,3000,1.4,ambient,vegetation_height,18
2023-12-12,west,6,3000,6.4,ambient,bare_soil_cover,10
2023-12-12,west,6,3000,6.4,ambient,rock_cover,0
2023-12-12,west,6,3000,6.4,ambient,lichen_cover,0
2023-12-12,west,6,3000,6.4,ambient,moss_cover,0
2023-12-12,west,6,3000,6.4,ambient,vegetation_height,8
2023-12-12,west,6,3000,6.5,warm,bare_soil_cover,25
2023-12-12,west,6,3000,6.5,warm,rock_cover,0
2023-12-12,west,6,3000,6.5,warm,lichen_cover,0
2023-12-12,west,6,3000,6.5,warm,moss_cover,0
