plot_id,functional_diversity_q0,functional_diversity_q1,functional_diversity_q2,functional_dispersion,cover_frac
CH_L1,1.50690242329734,1.22264985134962,1.16868920507683,0.0390162615264713,0.595446584938704
CH_L2,1.27966556209151,1.20135487748201,1.15838395684047,0.0380861800429238,0.649466192170818
CH_L3,2.05411886956381,1.88079679781965,1.75728910450267,0.0952708179579665,0.372035977105478
CH_L4,1.75393087544963,1.55035961327042,1.47317862860128,0.0837255240044155,0.402673350041771
CH_L5,2.36498940027256,2.31298564944886,2.26913817229936,0.134804284870019,0.229263746505126
CH_L6,1.65979151331082,1.55147099185376,1.49465794712796,0.0888415900787585,0.292479108635097
CH_L7,2.41191902115936,2.36067659828348,2.32398267656995,0.153476530334869,0.626072041166381
CH_A4,1.87791072989405,1.85056797091168,1.82902508909492,0.116210365049606,0.382352941176471
CH_M1,1.97679418487091,1.87550159905956,1.80382125828173,0.103230488304974,0.249733191035219
CH_M2,2.13462610564259,2.06189080000694,2.00510432310842,0.11061537079121,0.154956689124158
CH_M3,1.82584406701276,1.73268891844337,1.66711843139697,0.0857175832242209,0.259308510638298
CH_M4,2.29427805185425,2.18241417372304,2.10013072931828,0.120188791301394,0.136645962732919
CH_M5,1.63726987917791,1.57600279944292,1.54300615607664,0.0817812094107596,0.269931662870159
CH_M6,1.89530355998531,1.84225628265984,1.80149374655426,0.0986674413014539,0.107027027027027
CH_M7,2.49595420606855,2.43803786129906,2.38543570600929,0.138008436993625,0.17329255861366
CH_A1,1.83393707390626,1.79768384644587,1.76921283471261,0.107377611186313,0.267301038062284
CH_A2,1.77816300690188,1.72431331929224,1.68353403654928,0.0979063291435041,0.452846975088968
CH_A3,1.91316472539982,1.87915971481685,1.84863723298331,0.109488957493777,0.584597432905484
CH_A5,1.51845119421666,1.39371692302309,1.32639564319558,0.0628621725126973,0.796541200406918
CH_A6,1.67736540817445,1.59982583708607,1.54695957493356,0.0921497487825955,0.664202745512144
CH_A7,1.92389654544039,1.81258163569631,1.73081081971531,0.103161920440936,0.778383287920073
CH_H1,1.04191718850677,1.0392822922479,1.03702108991384,0.0100247989915536,0.186046511627907
CH_H2,1.65728753830037,1.59682972633876,1.5510221324997,0.0835434783280225,0.125748502994012
CH_H3,1.73214351035305,1.68108157271183,1.64075918437981,0.0931063495744553,0.114713216957606
CH_H4,1.16081918385367,1.15659840684043,1.15258257641714,0.0322865412035586,0.0958904109589041
CH_H5,1.75474202956313,1.75105073258217,1.74779673713092,0.108574979283407,0.0717488789237668
CH_H10,1.25060545098409,1.25014823011446,1.24969867124714,0.0505027243528866,0.133997785160576
CH_H11,1.13611933952735,1.13312494815477,1.13028061694458,0.0295549114472576,0.0889159561510353
CH_H12,1.10065343702579,1.09860651182364,1.09665960988414,0.0258242685058518,0.0433639947437582
CH_H13,1.00894929707036,1.0083248920289,1.00779895758876,0.00226734440227407,0.0695553021664766
CH_H6,1.17299091077866,1.17138043917873,1.16989964019888,0.0377769758702308,0.0787671232876712
CH_H7,1.21291218233617,1.21059229299621,1.20828401605234,0.041887240402928,0.0363128491620112
CH_H8,1.22111441175088,1.21940154683859,1.21768812398763,0.0431473912518242,0.0641025641025641
CH_H9,1.21465919633716,1.21287162276362,1.21117745214075,0.0436170602121634,0.0561282932416953
CH_A10,1.69868764100903,1.50885100698882,1.42332785938392,0.074487828690674,0.285285285285285
CH_A11,1.56849890469375,1.4494874082649,1.37600023835091,0.0700325842417688,0.561936936936937
CH_A12,1.82657503046236,1.68714258864475,1.59769140182314,0.0954709099610243,0.379523389232127
CH_A13,1.35703099452496,1.21559152990199,1.19007903177677,0.0395149907229997,0.643948296122209
CH_A14,1.46835736169016,1.42027545042525,1.38247889182648,0.0724529456907166,0.528341497550735
CH_A15,1.64245459320132,1.39651381183488,1.29654376729284,0.060890903307683,0.457345971563981
CH_A16,1.61077830623241,1.51078329397949,1.45522879300512,0.0787709985878881,0.584225900681597
