datetime,date,elevation,treatment,plot,tier,site,latitude,longitude,plot_id,area,ndvi,ndvi_change
2012-08-20T16:08:54Z,2012-08-20,3850,c,7,China_2016,A,29.88911,102.0173,CH_A7,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:08:47Z,2012-08-20,3850,otc,7,China_2016,A,29.88911,102.0173,CH_A7,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:25Z,2012-08-20,3850,c,2,China_2016,A,29.88911,102.0173,CH_A2,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:10:40Z,2012-08-20,3850,otc,1,China_2016,A,29.88911,102.0173,CH_A1,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:10:25Z,2012-08-20,3850,otc,5,China_2016,A,29.88911,102.0173,CH_A5,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:08:57Z,2012-08-20,3850,c,7,China_2016,A,29.88911,102.0173,CH_A7,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:08:50Z,2012-08-20,3850,otc,7,China_2016,A,29.88911,102.0173,CH_A7,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:28Z,2012-08-20,3850,c,2,China_2016,A,29.88911,102.0173,CH_A2,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:10:43Z,2012-08-20,3850,otc,1,China_2016,A,29.88911,102.0173,CH_A1,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:10:29Z,2012-08-20,3850,otc,5,China_2016,A,29.88911,102.0173,CH_A5,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:09:24Z,2012-08-20,3850,c,6,China_2016,A,29.88911,102.0173,CH_A6,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:09:16Z,2012-08-20,3850,otc,6,China_2016,A,29.88911,102.0173,CH_A6,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:56Z,2012-08-20,3850,otc,2,China_2016,A,29.88911,102.0173,CH_A2,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:12:17Z,2012-08-20,3850,otc,3,China_2016,A,29.88911,102.0173,CH_A3,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:09:27Z,2012-08-20,3850,c,6,China_2016,A,29.88911,102.0173,CH_A6,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:09:19Z,2012-08-20,3850,otc,6,China_2016,A,29.88911,102.0173,CH_A6,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:58Z,2012-08-20,3850,otc,2,China_2016,A,29.88911,102.0173,CH_A2,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:12:20Z,2012-08-20,3850,otc,3,China_2016,A,29.88911,102.0173,CH_A3,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:12:23Z,2012-08-20,3850,otc,4,China_2016,A,29.88911,102.0173,CH_A4,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:03Z,2012-08-20,3850,c,1,China_2016,A,29.88911,102.0173,CH_A1,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:10Z,2012-08-20,3850,c,3,China_2016,A,29.88911,102.0173,CH_A3,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:12:46Z,2012-08-20,3850,c,4,China_2016,A,29.88911,102.0173,CH_A4,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:12:26Z,2012-08-20,3850,otc,4,China_2016,A,29.88911,102.0173,CH_A4,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:06Z,2012-08-20,3850,c,1,China_2016,A,29.88911,102.0173,CH_A1,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:11:13Z,2012-08-20,3850,c,3,China_2016,A,29.88911,102.0173,CH_A3,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:12:49Z,2012-08-20,3850,c,4,China_2016,A,29.88911,102.0173,CH_A4,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:09:55Z,2012-08-20,3850,c,5,China_2016,A,29.88911,102.0173,CH_A5,China,0.3025234998948752,5.796996695965895e-4
2012-08-20T16:09:58Z,2012-08-20,3850,c,5,China_2016,A,29.88911,102.0173,CH_A5,China,0.3025234998948752,5.796996695965895e-4
2013-08-20T16:09:30Z,2013-08-20,4100,c,5,China_2016,H,29.90742,102.0118,CH_H5,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:09:38Z,2013-08-20,4100,otc,4,China_2016,H,29.90742,102.0118,CH_H4,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:09:22Z,2013-08-20,4100,otc,5,China_2016,H,29.90742,102.0118,CH_H5,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:10:29Z,2013-08-20,4100,c,4,China_2016,H,29.90742,102.0118,CH_H4,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:09:41Z,2013-08-20,4100,otc,4,China_2016,H,29.90742,102.0118,CH_H4,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:09:25Z,2013-08-20,4100,otc,5,China_2016,H,29.90742,102.0118,CH_H5,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:10:32Z,2013-08-20,4100,c,4,China_2016,H,29.90742,102.0118,CH_H4,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:11:52Z,2013-08-20,4100,c,1,China_2016,H,29.90742,102.0118,CH_H1,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:12:12Z,2013-08-20,4100,c,3,China_2016,H,29.90742,102.0118,CH_H3,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:12:19Z,2013-08-20,4100,otc,3,China_2016,H,29.90742,102.0118,CH_H3,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:11:55Z,2013-08-20,4100,c,1,China_2016,H,29.90742,102.0118,CH_H1,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:12:15Z,2013-08-20,4100,c,3,China_2016,H,29.90742,102.0118,CH_H3,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:12:21Z,2013-08-20,4100,otc,3,China_2016,H,29.90742,102.0118,CH_H3,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:11:17Z,2013-08-20,4100,otc,1,China_2016,H,29.90742,102.0118,CH_H1,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:11:07Z,2013-08-20,4100,otc,2,China_2016,H,29.90742,102.0118,CH_H2,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:11:20Z,2013-08-20,4100,otc,1,China_2016,H,29.90742,102.0118,CH_H1,China,0.14483220512070133,0.0030749022222658576
2013-08-20T16:11:10Z,2013-08-20,4100,otc,2,China_2016,H,29.90742,102.0118,CH_H2,China,0.14483220512070133,0.0030749022222658576
2011-08-20T16:15:00Z,2011-08-20,3500,c,3,China_2016,M,29.86192,102.036,CH_M3,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:15:08Z,2011-08-20,3500,c,4,China_2016,M,29.86192,102.036,CH_M4,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:16:19Z,2011-08-20,3500,c,1,China_2016,M,29.86192,102.036,CH_M1,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:15:29Z,2011-08-20,3500,c,6,China_2016,M,29.86192,102.036,CH_M6,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:16:05Z,2011-08-20,3500,otc,3,China_2016,M,29.86192,102.036,CH_M3,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:15:16Z,2011-08-20,3500,otc,4,China_2016,M,29.86192,102.036,CH_M4,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:15:03Z,2011-08-20,3500,c,3,China_2016,M,29.86192,102.036,CH_M3,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:15:11Z,2011-08-20,3500,c,4,China_2016,M,29.86192,102.036,CH_M4,China,0.7978748935864329,-3.7440980813457925e-4
2011-08-20T16:16:23Z,2011-08-20,3500,c,1,China_2016,M,29.86192,102.036,CH_M1,China,0.7978748935864329,-3.7440980813457925e-4
