plot_id,flux_id,date,ndvi,ndvi_change,ndvi_max,ndvi_min,ndvi_avg,annual_mean_temperature,diurnal_temperature_range,temperature_seasonality,annual_precipitation,precipitation_seasonality,KG_climate_classification,T_diff1,T_diff7,T_diff14,T_diff28,esa_worldcover_10,esa_worldcover_50
SV_ITEXCAS_L3,SV_ITEXCAS_L3128,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXBIS_L6,SV_ITEXBIS_L6121,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXCAS_L1,SV_ITEXCAS_L1124,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXDRY_L1,SV_ITEXDRY_L1134,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXBIS_L10,SV_ITEXBIS_L10116,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXBIS_L10,SV_ITEXBIS_L10115,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXCAS_L1,SV_ITEXCAS_L1125,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXCAS_L7,SV_ITEXCAS_L7130,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXCAS_L10,SV_ITEXCAS_L10126,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXBIS_L8,SV_ITEXBIS_L8122,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXCAS_L3,SV_ITEXCAS_L3129,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXDRY_L1,SV_ITEXDRY_L1135,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXDRY_L2,SV_ITEXDRY_L2137,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXDRY_L7,SV_ITEXDRY_L7141,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXBIS_L6,SV_ITEXBIS_L6120,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
SV_ITEXDRY_L5,SV_ITEXDRY_L5139,2018-07-23,0.4075438374121641,0.01796271794488252,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.901239522298181,0.04638406662713468,-0.2945558426872168,0.12429571605863998,NA,NA
SV_ITEXCAS_L9,SV_ITEXCAS_L9132,2018-07-17,0.29458628832592887,0.01951348388689561,0.572125899867212,1.052596355325085e-6,0.08299577789340123,-7.45,3.8,7.68,466.7,28,30,-0.2647257910834453,-0.6613287214248968,-0.09799548103696144,0.31092644116235313,NA,NA
